Race,Highest_Education,Gender,PTOT_R,PEARNVAL,A_MARITL,HEA,MIG_DIV
1,0,1,0,0,7,3,1
1,39,2,19,45000,7,2,1
1,40,1,16,38000,7,4,1
1,39,1,32,78000,5,2,1
1,37,1,1,1000,7,2,1
1,0,1,0,0,7,2,1
1,43,1,21,42000,1,2,1
1,42,2,17,40000,1,2,1
1,0,1,0,0,7,2,1
1,40,1,1,0,1,2,1
1,46,2,41,241000,1,2,1
1,40,1,19,46859,7,1,1
1,40,2,2,4356,7,1,1
1,0,1,0,0,7,1,1
1,44,1,39,69100,7,5,1
1,0,1,0,0,7,1,1
1,39,2,24,53000,5,1,1
1,39,1,1,0,7,1,1
1,39,2,7,4400,7,1,1
1,37,2,2,2500,7,1,1
1,42,1,3,5500,1,3,1
1,44,2,25,60000,1,3,1
1,0,1,0,0,7,2,1
1,39,2,7,15000,5,1,1
1,0,2,0,0,7,1,1
1,39,1,15,35000,7,1,1
1,40,2,3,6000,1,2,1
1,43,1,15,35700,1,2,1
1,0,2,0,0,7,1,1
1,0,1,0,0,7,1,0
2,41,1,13,31200,1,1,1
1,40,2,16,36299,1,1,1
2,39,1,5,10000,7,3,1
1,42,2,41,43634,1,4,1
1,44,1,20,49000,1,4,1
1,0,1,0,0,7,1,1
1,0,1,0,0,7,1,1
1,45,2,17,39566,7,2,1
1,40,2,41,100032,3,2,1
1,37,1,1,0,7,2,1
1,39,1,1,0,7,2,1
1,39,1,5,10400,1,4,1
1,40,2,21,50000,1,3,1
1,40,1,17,0,1,1,1
1,40,2,4,0,1,3,1
1,39,2,7,0,4,2,1
1,40,2,1,1800,1,2,1
2,43,1,14,34000,1,2,1
6,0,2,0,0,7,2,1
6,0,2,0,0,7,2,1
6,0,2,0,0,7,2,1
6,0,2,0,0,7,2,1
6,0,2,0,0,7,2,1
1,39,1,7,0,4,5,1
1,40,1,33,0,5,2,1
1,42,1,41,210000,1,2,1
1,43,2,10,18000,1,2,1
1,43,1,23,57000,6,2,1
1,44,2,17,42000,5,2,1
1,44,2,9,17572,1,3,1
1,43,1,34,83200,1,2,1
1,39,1,27,0,1,3,1
1,39,2,1,0,1,2,1
1,43,2,19,45000,1,3,1
1,39,1,19,45000,1,3,1
1,40,1,21,52000,7,3,1
1,43,1,22,14000,1,3,1
1,39,2,5,0,1,3,1
1,40,1,2,0,7,4,1
1,39,1,41,145000,1,2,1
1,39,2,1,0,1,2,1
4,40,2,1,0,7,1,1
2,34,2,1,0,7,2,1
4,34,1,1,0,7,1,1
1,41,1,41,0,1,3,1
1,39,2,1,0,1,5,1
1,43,2,14,0,1,2,1
1,39,1,3,0,1,3,1
1,40,1,15,0,1,2,1
1,43,2,16,0,1,1,1
1,44,1,41,21000,1,1,1
1,39,2,23,43000,1,1,1
1,40,2,13,18000,1,2,1
1,41,1,16,18000,1,2,1
1,43,2,1,0,1,4,1
1,39,1,8,0,1,5,1
1,43,1,12,21000,1,3,1
1,42,2,9,21280,1,2,1
7,40,2,1,0,7,3,1
7,0,1,0,0,7,2,1
1,40,1,1,0,7,3,1
1,42,2,1,0,1,3,1
1,44,1,41,200000,1,2,1
1,46,2,13,14000,7,1,1
1,42,2,17,40000,1,1,1
1,40,1,41,140000,1,1,1
1,40,1,11,25000,7,1,1
1,36,2,1,0,7,1,1
1,39,2,12,28000,5,1,1
1,37,2,4,7500,7,3,1
1,0,1,0,0,7,4,1
1,41,1,24,56160,5,3,1
1,39,1,17,40000,7,2,1
1,39,2,9,0,1,2,1
1,34,1,9,0,1,2,1
1,39,1,5,0,6,5,8
1,45,2,24,58000,7,1,1
1,43,1,8,14650,7,1,1
1,40,1,18,35000,7,1,1
1,39,2,7,15000,1,3,1
1,39,1,25,60000,1,3,1
1,0,1,0,0,7,3,1
1,40,2,7,1800,4,3,1
1,41,1,4,9700,5,3,1
1,39,1,25,60000,7,1,1
1,40,1,25,60000,1,2,1
1,39,2,9,21500,1,2,1
1,40,1,39,0,1,2,1
1,40,2,5,0,1,2,1
1,39,2,5,0,7,4,1
1,39,1,18,0,5,2,1
1,43,1,23,54000,5,2,1
1,40,2,17,34000,5,2,1
1,37,1,3,5000,7,2,1
1,44,2,41,120000,1,2,1
1,44,1,30,70000,1,2,1
1,0,2,0,0,7,1,1
1,0,1,0,0,7,1,1
1,42,2,16,37000,5,2,1
1,37,2,3,6500,7,2,1
1,44,1,13,0,1,2,1
1,44,2,21,0,1,2,1
1,41,1,7,16640,1,1,1
1,43,2,19,38000,1,3,1
1,37,1,1,0,7,3,1
1,43,2,28,69400,5,3,1
1,39,1,12,15000,5,3,1
1,40,2,1,0,5,2,1
3,40,2,4,0,1,2,1
1,39,1,15,35000,1,3,1
1,0,1,0,0,7,2,1
3,0,2,0,0,7,1,0
1,44,1,29,70000,1,1,1
1,43,2,14,32000,1,1,1
1,0,1,0,0,7,1,1
1,0,2,0,0,7,1,1
1,0,2,0,0,7,1,1
1,0,1,0,0,7,1,1
1,43,2,15,36000,1,3,1
1,39,1,10,24000,1,3,1
1,0,1,0,0,7,3,1
1,0,1,0,0,7,3,1
1,44,2,15,36000,7,2,1
1,43,1,30,68000,5,2,1
1,0,1,0,0,7,1,1
1,0,1,0,0,7,1,1
1,39,2,25,60000,1,2,1
1,42,1,21,52000,1,2,1
1,43,2,26,64000,5,1,1
1,40,1,24,59000,7,1,1
1,39,2,1,0,7,4,1
1,43,1,37,92000,1,2,1
4,43,2,1,0,1,1,1
1,43,2,8,19047,1,1,1
1,43,1,35,85687,1,1,1
1,0,1,0,0,7,1,1
1,0,2,0,0,7,1,1
1,39,2,4,0,7,2,1
1,0,2,0,0,7,1,1
1,36,1,4,0,7,2,1
4,46,1,37,90000,1,2,1
4,44,2,13,30000,1,3,1
4,36,1,1,0,7,3,1
1,39,1,41,108000,1,2,1
1,40,2,34,62000,1,2,1
1,0,2,0,0,7,1,1
1,42,2,14,30000,1,2,1
1,42,1,41,125000,1,3,1
1,37,2,1,800,7,3,1
1,0,2,0,0,7,3,1
1,39,2,9,0,1,4,1
2,42,1,20,48000,1,3,1
6,40,2,11,25000,7,3,1
1,43,2,9,22000,6,3,1
1,0,1,0,0,7,2,1
1,0,2,0,0,7,1,1
1,39,1,36,88000,1,4,1
3,43,2,25,50000,1,4,1
1,39,1,7,0,7,2,1
1,0,1,0,0,7,2,1
1,0,2,0,0,7,2,1
1,0,2,0,0,7,2,1
1,0,2,0,0,7,2,1
1,39,2,11,26000,7,2,1
1,39,1,15,0,5,4,1
1,37,2,10,0,4,4,1
6,0,2,0,0,7,3,1
1,43,2,3,0,1,1,1
1,46,1,41,143000,1,1,1
1,0,1,0,0,7,1,1
1,0,2,0,0,7,1,1
1,0,2,0,0,7,1,1
1,40,2,10,23000,5,2,1
1,37,2,4,0,7,2,1
1,34,1,4,0,7,2,1
1,34,2,4,0,7,2,1
1,34,1,1,0,4,2,1
1,34,2,7,0,4,2,1
1,39,1,25,32000,1,1,1
1,39,2,5,0,1,2,1
1,39,1,21,50000,7,1,1
1,39,1,41,95000,1,2,1
1,39,2,1,0,1,2,1
1,43,2,25,60000,1,2,1
1,43,1,17,40000,1,2,1
1,0,2,0,0,7,2,1
1,44,2,7,0,5,2,1
1,40,2,2,3000,7,1,1
1,0,1,0,0,7,1,1
1,0,1,0,0,7,1,1
1,42,1,15,35000,5,1,1
1,41,2,14,0,4,3,1
1,39,1,18,0,1,3,1
1,39,2,12,28000,1,2,1
1,41,2,25,60000,7,1,1
4,39,2,7,0,1,3,1
4,40,1,10,0,1,3,1
1,40,2,16,38000,1,3,1
1,39,1,21,50000,1,3,1
1,40,1,15,35000,7,2,1
1,39,2,9,5000,5,1,1
1,44,1,13,0,5,4,1
1,43,1,15,37000,7,2,1
1,39,2,1,2400,7,3,1
1,40,2,20,30000,4,4,1
1,39,2,33,80000,7,4,1
1,39,2,23,54000,1,3,1
1,39,1,25,60000,1,3,1
1,39,2,11,0,5,2,1
1,40,2,25,0,1,3,1
1,40,1,26,64263,1,3,1
1,39,2,1,0,7,1,1
1,0,2,0,0,7,1,1
1,0,1,0,0,7,1,0
1,39,1,21,50000,7,1,1
1,45,1,36,36400,5,4,1
16,40,1,1,0,7,4,1
1,40,2,8,5200,4,3,1
6,0,2,0,0,7,2,1
2,35,1,6,0,5,3,1
1,39,2,5,0,4,3,1
1,43,1,24,57640,1,2,1
1,39,2,14,33001,1,2,1
1,40,2,19,45000,1,2,1
1,39,1,23,55000,1,2,1
1,39,1,10,0,5,2,1
1,43,1,38,94000,1,1,1
1,43,2,1,1500,1,1,1
1,0,2,0,0,7,1,1
1,0,2,0,0,7,1,1
1,0,2,0,0,7,1,1
1,39,1,6,0,1,2,1
1,39,2,14,32000,1,2,1
1,34,1,10,0,5,4,1
1,41,2,9,21000,7,4,1
1,0,2,0,0,7,2,1
1,0,2,0,0,7,2,1
1,39,1,27,47000,1,1,1
1,41,2,1,0,1,3,1
1,39,1,1,0,5,4,1
1,0,2,0,0,7,1,1
7,39,1,8,0,5,4,1
7,39,1,10,0,1,3,1
7,37,2,7,0,1,3,1
7,39,1,5,12000,7,2,1
1,40,2,15,33000,5,4,1
1,39,1,17,40000,7,1,1
1,0,1,0,0,7,1,1
1,39,2,11,24002,7,1,1
1,44,2,37,72000,4,3,1
8,39,1,9,0,5,3,1
1,41,2,13,18000,5,2,1
1,39,1,7,15000,7,1,1
1,0,1,0,0,7,1,1
1,39,1,6,13500,7,1,1
1,0,2,0,0,7,1,1
1,39,2,6,0,4,3,1
1,39,2,11,27000,7,1,1
1,41,2,5,12000,1,2,1
1,42,1,29,70002,1,2,1
1,39,2,7,0,5,1,1
1,39,2,6,0,1,4,1
1,41,1,8,0,1,4,1
1,44,2,35,0,4,4,1
1,46,2,17,0,5,2,1
1,40,2,4,0,7,1,1
1,36,1,23,56001,1,1,1
1,34,2,1,0,1,1,1
1,36,2,3,0,7,1,1
1,46,1,41,0,4,3,1
1,44,2,41,265000,1,2,1
1,46,1,41,170000,1,2,1
1,43,1,1,0,7,1,1
1,45,2,41,0,1,1,1
1,45,1,41,171000,1,1,1
1,43,1,18,43000,5,2,1
1,39,1,7,0,1,5,1
1,40,2,9,20000,1,3,1
1,40,1,14,34000,7,2,1
1,43,2,33,70000,5,2,1
1,42,2,9,0,4,2,1
1,44,1,23,0,1,2,1
1,43,2,5,0,1,2,1
1,43,1,21,50000,7,1,1
1,44,2,41,105000,7,1,1
1,39,2,4,0,7,3,1
2,31,2,8,0,4,2,1
2,39,2,13,30000,5,2,1
2,0,1,0,0,7,2,1
1,43,2,41,0,1,1,1
1,44,1,41,0,1,1,1
1,43,2,9,20000,1,2,1
1,44,1,41,146000,1,3,1
1,0,2,0,0,7,1,1
1,0,1,0,0,7,1,1
1,46,2,10,0,1,2,1
1,46,1,12,0,1,2,1
1,40,1,16,0,1,3,1
1,41,2,26,500,1,1,1
1,43,2,27,62000,7,1,1
1,43,2,41,85000,1,2,1
